N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
7, 2048, 0, 8, 83.99, 84.82, 78.13, 79.13
7, 2048, 0, 9, 86.55, 86.11, 79.78, 80.97
7, 2048, 0, 10, 86, 85.93, 79.23, 78.68
8, 512, 0, 0, 84.35, 86.39, 82.09, 84.49
8, 512, 0, 1, 84.62, 86.4, 82.42, 84.16
8, 512, 0, 2, 84.79, 86.44, 81.43, 84.08
8, 512, 0, 3, 82.12, 84.53, 78.68, 81.16
8, 512, 0, 4, 78.89, 81.11, 74.07, 77.22
8, 512, 0, 5, 81.07, 82.41, 77.69, 80.82
8, 512, 0, 6, 78.51, 80.9, 73.96, 77.34
8, 512, 0, 7, 79.17, 82, 74.62, 78.03
8, 512, 0, 8, 79.14, 82.34, 72.75, 77.18
8, 512, 0, 9, 81.07, 83.69, 76.15, 79.97
8, 512, 0, 10, 81.21, 85.15, 75.6, 80.25
8, 1024, 0, 0, 87.21, 89.03, 82.75, 85.2
8, 1024, 0, 1, 88.01, 89.32, 84.18, 85.83
8, 1024, 0, 2, 88.26, 89.46, 84.18, 86.32
8, 1024, 0, 3, 85.89, 87.64, 81.43, 83.56
8, 1024, 0, 4, 83.03, 84.9, 78.13, 81.16
8, 1024, 0, 5, 81.34, 84.19, 75.93, 79.4
8, 1024, 0, 6, 82.28, 84.69, 76.92, 79.93
8, 1024, 0, 7, 80.33, 82.64, 75.16, 78.86
8, 1024, 0, 8, 84.79, 85.57, 77.47, 78.88
8, 1024, 0, 9, 83.22, 85.58, 77.36, 80.53
8, 1024, 0, 10, 82.69, 84.45, 75.27, 77.46
8, 2048, 0, 0, 90.55, 91.48, 85.05, 86.37
8, 2048, 0, 1, 91.15, 91.92, 84.95, 86.43
8, 2048, 0, 2, 91.29, 92.12, 85.38, 86.92
8, 2048, 0, 3, 90.63, 91.82, 84.4, 85.92
8, 2048, 0, 4, 91.1, 91.91, 83.85, 85.88
8, 2048, 0, 5, 89.83, 91.13, 82.75, 84.77
8, 2048, 0, 6, 86.08, 87.34, 79.12, 81.88
8, 2048, 0, 7, 83.88, 85.39, 76.92, 79.68
8, 2048, 0, 8, 86.3, 87.01, 78.57, 80.86
8, 2048, 0, 9, 86.28, 86.54, 77.14, 77.28
8, 2048, 0, 10, 84.18, 85.16, 75.6, 77.15
9, 512, 0, 0, 84.43, 86.54, 81.65, 84.2
9, 512, 0, 1, 85.04, 86.77, 81.87, 83.78
9, 512, 0, 2, 83.8, 85.69, 80.66, 83.63
9, 512, 0, 3, 82.81, 84.64, 79.01, 80.97
9, 512, 0, 4, 81.43, 83.06, 77.03, 79.37
9, 512, 0, 5, 78.15, 81.55, 73.52, 79.03
9, 512, 0, 6, 80.08, 81.76, 74.73, 76.88
9, 512, 0, 7, 79.06, 81.12, 75.27, 77.92
9, 512, 0, 8, 79.17, 81.03, 74.62, 76.92
9, 512, 0, 9, 83.08, 84.75, 79.01, 81.42
